web-scraper-order,web-scraper-start-url,image-src,name,model,fuel_type,mileage,registration_date,price
"1717973551-12","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8yNTg4ODUxOV8xOTFEMzA5MzFfNGIxY2EzMjk0YjQ4Yjg4OTJkNTU4NWRlNWY2NzU3YTVfMS5qcGciLCJidWNrZXQiOiJhdXRvZnMiLCJsYXN0X21vZGlmaWVkIjoiMTcxNzgyNzM3NSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwLCJoZWlnaHQiOjMwMCwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19","Renault","Clio","Petrol","90,944 km","2019","€14,495"
"1717973551-13","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8yNTg5NzQ4MF8xODJENzkyOF8xOTczOGEzZDVmZTRmZjFjYzkwYzJhZTEyZjE4MDhlYl8xLmpwZyIsImJ1Y2tldCI6ImF1dG9mcyIsImxhc3RfbW9kaWZpZWQiOiIxNzE1OTcwMjA3IiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0MDAsImhlaWdodCI6MzAwLCJmaXQiOiJjb250YWluIiwiYmFja2dyb3VuZCI6eyJyIjoyNTUsImciOjI1NSwiYiI6MjU1LCJhbHBoYSI6MX19fX0=","Dacia","Sandero","Petrol","59,000 km","2018","€14,495"
"1717973551-14","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8yNTYxNTEwOF8xODJLRTcwNF9lMzY2MDg0ZTllNDVlYTZmNDMwNDQwNjE0NDYyNDNlZl8xLmpwZyIsImJ1Y2tldCI6ImF1dG9mcyIsImxhc3RfbW9kaWZpZWQiOiIxNjk1NDA2OTY2IiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0MDAsImhlaWdodCI6MzAwLCJmaXQiOiJjb250YWluIiwiYmFja2dyb3VuZCI6eyJyIjoyNTUsImciOjI1NSwiYiI6MjU1LCJhbHBoYSI6MX19fX0=","Hyundai","i20","Petrol","87,500 km","2018","€14,995"
"1717973551-15","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8yNTc2MjMzMl80MDE1OTcwXzZiZTVhYjNjOTAyYzNkODMyZWVhODg3Zjg3M2ZiYjY5XzEuanBnIiwiYnVja2V0IjoiYXV0b2ZzIiwibGFzdF9tb2RpZmllZCI6IjE3MDM3OTE4MTMiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvbnRhaW4iLCJiYWNrZ3JvdW5kIjp7InIiOjI1NSwiZyI6MjU1LCJiIjoyNTUsImFscGhhIjoxfX19fQ==","Toyota","Vitz","Petrol","93,873 km","2019","€14,995"
"1717973551-16","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8yNTc2MjMzMF80MDI0Nzg5Xzg0Yzk4YmIxMzRkNjhiNzAzMmZiOWY3NmMxNDljYWNmXzEuanBnIiwiYnVja2V0IjoiYXV0b2ZzIiwibGFzdF9tb2RpZmllZCI6IjE3MDM3OTE4MTEiLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMCwiaGVpZ2h0IjozMDAsImZpdCI6ImNvbnRhaW4iLCJiYWNrZ3JvdW5kIjp7InIiOjI1NSwiZyI6MjU1LCJiIjoyNTUsImFscGhhIjoxfX19fQ==","Toyota","Vitz","Petrol","107,511 km","2019","€14,995"
"1717973551-17","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8yNTc5MjAzMl8xOTJEMTMyNjZfZGFmMGQzM2UwMjJiYTUyNzk5ZTM1MTUyOTA2NzBlNTdfMS5qcGciLCJidWNrZXQiOiJhdXRvZnMiLCJsYXN0X21vZGlmaWVkIjoiMTcwODA2ODE5OSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwLCJoZWlnaHQiOjMwMCwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19","Nissan","Leaf","Electric","119,555 km","2019","€14,995"
"1717973551-18","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8yNTg0NjYwOV8xODFEMjc4OTRfZWFhMDk1OWQwZGMyNTI3OGFjOTQwZGY3MDRiY2E2YTlfMS5qcGciLCJidWNrZXQiOiJhdXRvZnMiLCJsYXN0X21vZGlmaWVkIjoiMTcxNzY1NDU0NCIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwLCJoZWlnaHQiOjMwMCwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19","Nissan","Micra","Petrol","73,607 km","2018","€14,995"
"1717973551-19","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8yNTg3MzMyMl8xODFNSDg3N182MGY1Nzk4MDhhM2Q3ZmNlZDg5ODQ5Nzc2ODRmNzY4ZV8xLmpwZyIsImJ1Y2tldCI6ImF1dG9mcyIsImxhc3RfbW9kaWZpZWQiOiIxNzEyMTI1MTA3IiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0MDAsImhlaWdodCI6MzAwLCJmaXQiOiJjb250YWluIiwiYmFja2dyb3VuZCI6eyJyIjoyNTUsImciOjI1NSwiYiI6MjU1LCJhbHBoYSI6MX19fX0=","Kia","Rio","Petrol","73,155 km","2018","€14,995"
"1717973551-20","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8yNTg3MzQ4Ml8xODFMSDIyMjJfNDZjZmE2YmZjZjMyMzliZGI4ZDZmMDJiYzU3MGY5YTdfMS5qcGciLCJidWNrZXQiOiJhdXRvZnMiLCJsYXN0X21vZGlmaWVkIjoiMTcxNzc0MDkwNiIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwLCJoZWlnaHQiOjMwMCwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19","Peugeot","2008","Petrol","90,560 km","2018","€14,995"
"1717973551-21","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8yNTkwODU0MF8xNjFEMjU0NzhfMmEwZGJmZDhhNDg5NDAzNTY0NTEyNTIyZmYyYThlNzVfMS5qcGciLCJidWNrZXQiOiJhdXRvZnMiLCJsYXN0X21vZGlmaWVkIjoiMTcxMzkzOTU3MCIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwLCJoZWlnaHQiOjMwMCwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19","Renault","KADJAR","Diesel","135,000 km","2016","€14,995"
"1717973551-22","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8yNTkxNTcxMV8yMTFEMTM5M183NWJmOTRmYWZkMjc1N2M1MTZjMjI2YjMyMjdlOTJjMF8xLmpwZyIsImJ1Y2tldCI6ImF1dG9mcyIsImxhc3RfbW9kaWZpZWQiOiIxNzE3NjU0NTYyIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0MDAsImhlaWdodCI6MzAwLCJmaXQiOiJjb250YWluIiwiYmFja2dyb3VuZCI6eyJyIjoyNTUsImciOjI1NSwiYiI6MjU1LCJhbHBoYSI6MX19fX0=","Dacia","Sandero","Petrol","49,875 km","2021","€14,995"
"1717973551-23","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8yNTkyNTIyMV8xNzFEODgyNl8xNGI3ZTE1ZTQ4NWM4ZWMzZGM3ZmYwNWE2YzhiYjkyNV8xLmpwZyIsImJ1Y2tldCI6ImF1dG9mcyIsImxhc3RfbW9kaWZpZWQiOiIxNzE2OTYzNzQ4IiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0MDAsImhlaWdodCI6MzAwLCJmaXQiOiJjb250YWluIiwiYmFja2dyb3VuZCI6eyJyIjoyNTUsImciOjI1NSwiYiI6MjU1LCJhbHBoYSI6MX19fX0=","Volkswagen","Polo","Petrol","64,081 km","2017","€14,995"
"1717973551-24","https://www.windsor.ie/used-cars/search/?budget-program%5B%5D=hp&hp-deposit%5B%5D=0&hp-annual-mileage%5B%5D=10000&hp-term%5B%5D=60&num-images%5Bmin%5D%5B%5D=4&pcp-term%5B%5D=36&pcp-annual-mileage%5B%5D=10000&section%5B%5D=146859&order=price&pageId=1218157&all-makes=1","https://images.netdirector.auto/eyJrZXkiOiJuZHN0b2NrXC9pbWFnZXNcL3N0b2NrXC9hZDY1ZWMwOTI3N2U1NzY5YzllMGYzMzU1NjdjYjU2ZjJlMzJjYmY0XC8yNTkzNTU5N18yMTJEMjI5ODlfZjI5YjliM2MwNGEzYzkwMTQxNmMxMjBlMTc4NTMzYTBfMS5qcGciLCJidWNrZXQiOiJhdXRvZnMiLCJsYXN0X21vZGlmaWVkIjoiMTcxNzgyNzQxOSIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwLCJoZWlnaHQiOjMwMCwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19","Dacia","Sandero","Petrol","77,878 km","2021","€14,995"
